         TOF        Yobs    sYobs        Ycal     YcalBad
    11004.69    21498.00    01245    20691.00    19380.00
    11010.19    21078.00    01232    20413.00    19370.00
    11015.70    19953.00    01204    20192.00    19360.00
    11021.20    20706.00    01229    20017.00    19350.00
    11026.70    20897.00    01232    19879.00    19350.00
    11032.23    18916.00    01177    19770.00    19350.00
    11037.75    19642.00    01202    19683.00    19350.00
    11043.27    18948.00    01184    19616.00    19350.00
    11048.78    20209.00    01221    19563.00    19350.00
    11054.31    19475.00    01199    19521.00    19350.00
    11059.84    19071.00    01192    19489.00    19350.00
    11065.37    17076.00    01134    19464.00    19350.00
    11070.89    17349.00    01147    19446.00    19350.00
    11076.42    18526.00    01179    19431.00    19350.00
    11081.96    20968.00    01248    19421.00    19360.00
    11087.51    18687.00    01187    19413.00    19360.00
    11093.05    17286.00    01148    19408.00    19360.00
    11098.59    19259.00    01206    19405.00    19370.00
    11104.15    18062.00    01170    19403.00    19370.00
    11109.71    19001.00    01202    19403.00    19380.00
    11115.26    19767.00    01225    19403.00    19380.00
    11120.82    19576.00    01218    19404.00    19390.00
    11126.37    20343.00    01244    19406.00    19390.00
    11131.93    20433.00    01245    19408.00    19400.00
    11137.51    16638.00    01138    19411.00    19400.00
    11143.08    17035.00    01152    19404.00    19400.00
    11148.65    17851.00    01177    19409.00    19410.00
    11154.23    19718.00    01232    19413.00    19410.00
    11159.80    18778.00    01207    19417.00    19420.00
    11165.38    19111.00    01218    19422.00    19420.00
    11170.95    19114.00    01220    19426.00    19430.00
    11176.54    18949.00    01214    19431.00    19430.00
    11182.13    19890.00    01245    19435.00    19430.00
    11187.72    17930.00    01188    19439.00    19440.00
    11193.32    19323.00    01229    19444.00    19440.00
    11198.91    18789.00    01219    19448.00    19450.00
    11204.50    19441.00    01236    19453.00    19450.00
    11210.11    17857.00    01192    19457.00    19460.00
    11215.71    19655.00    01246    19461.00    19460.00
    11221.33    20088.00    01256    19466.00    19470.00
    11226.95    18075.00    01203    19470.00    19470.00
    11232.56    17662.00    01193    19475.00    19470.00
    11238.18    18700.00    01222    19479.00    19480.00
    11243.80    18369.00    01217    19483.00    19480.00
    11249.42    20349.00    01272    19488.00    19490.00
