         TOF        Yobs    sYobs        Ycal     YcalBad
    15002.89    22382.00    02592    20690.00    20690.00
    15010.40    24579.00    02682    20695.00    20690.00
    15017.90    20757.00    02532    20700.00    20700.00
    15025.42    21540.00    02563    20705.00    20700.00
    15032.94    20015.00    02509    20710.00    20710.00
    15040.46    22771.00    02621    20716.00    20720.00
    15047.97    23665.00    02666    20721.00    20720.00
    15055.49    21292.00    02569    20726.00    20730.00
    15063.03    19768.00    02509    20732.00    20730.00
    15070.56    20132.00    02528    20737.00    20740.00
    15078.10    20115.00    02531    20743.00    20740.00
    15085.63    18842.00    02481    20749.00    20750.00
    15093.16    17816.00    02440    20754.00    20750.00
    15100.71    18263.00    02459    20760.00    20760.00
    15108.26    21596.00    02609    20766.00    20770.00
    15115.81    20541.00    02563    20772.00    20770.00
    15123.38    21730.00    02617    20778.00    20780.00
    15130.94    19105.00    02510    20784.00    20780.00
    15138.51    19798.00    02544    20790.00    20790.00
    15146.07    18407.00    02488    20796.00    20800.00
    15153.65    20765.00    02587    20802.00    20800.00
    15161.23    22998.00    02688    20809.00    20810.00
    15168.81    19507.00    02542    20815.00    20810.00
    15176.39    18290.00    02498    20821.00    20820.00
    15183.97    18830.00    02521    20828.00    20830.00
    15191.57    22552.00    02681    20834.00    20830.00
    15199.16    20183.00    02587    20841.00    20840.00
    15206.76    20497.00    02604    20847.00    20850.00
    15214.37    22595.00    02690    20854.00    20850.00
    15221.98    19032.00    02550    20861.00    20860.00
    15229.59    21432.00    02650    20868.00    20870.00
    15237.20    24839.00    02798    20875.00    20870.00
    15244.81    18963.00    02554    20882.00    20880.00
    15252.44    19075.00    02563    20889.00    20890.00
    15260.07    24779.00    02803    20896.00    20900.00
    15267.69    21947.00    02692    20903.00    20900.00
    15275.33    23883.00    02770    20910.00    20910.00
    15282.97    20927.00    02658    20917.00    20920.00
    15290.62    21229.00    02670    20925.00    20920.00
    15298.26    20114.00    02632    20932.00    20930.00
    15305.90    16884.00    02490    20940.00    20940.00
    15313.55    19372.00    02604    20947.00    20950.00
    15321.21    21029.00    02678    20955.00    20950.00
    15328.87    20267.00    02650    20963.00    20960.00
    15336.54    21704.00    02710    20970.00    20970.00
    15344.21    17552.00    02541    20978.00    20980.00
    15351.88    19831.00    02640    20986.00    20990.00
    15359.56    19455.00    02633    20994.00    20990.00
    15367.23    19301.00    02625    21002.00    21000.00
    15374.92    26017.00    02907    21010.00    21010.00
    15382.60    26236.00    02920    21018.00    21020.00
    15390.29    21905.00    02750    21026.00    21030.00
    15397.99    21391.00    02727    21035.00    21030.00
    15405.70    24947.00    02883    21043.00    21040.00
    15413.40    22469.00    02781    21051.00    21050.00
    15421.10    18391.00    02616    21060.00    21060.00
    15428.80    22415.00    02788    21068.00    21070.00
    15436.52    22109.00    02780    21077.00    21080.00
    15444.24    20866.00    02732    21086.00    21090.00
    15451.96    17981.00    02611    21095.00    21090.00
